irn,RG Number,Record on the Internet,Record on the Intranet,Has Transcript?
508949,RG-50.010.0079,Yes,Yes,Yes
508950,RG-50.010.0080,Yes,Yes,Yes
508951,RG-50.010.0081,Yes,Yes,Yes
508952,RG-50.010.0082,Yes,Yes,Yes
508954,RG-50.010.0083,Yes,Yes,Yes
508955,RG-50.010.0084,Yes,Yes,Yes
508957,RG-50.010.0085,Yes,Yes,Yes
508958,RG-50.010.0086,Yes,Yes,Yes
508959,RG-50.010.0087,Yes,Yes,Yes
508960,RG-50.010.0088,Yes,Yes,Yes
508961,RG-50.010.0089,Yes,Yes,no
508962,RG-50.010.0090,Yes,Yes,Yes
508963,RG-50.010.0091,Yes,Yes,no
508965,RG-50.010.0092,Yes,Yes,Yes
508966,RG-50.010.0093,Yes,Yes,Yes
508967,RG-50.010.0094,Yes,Yes,Yes
508969,RG-50.010.0095,Yes,Yes,Yes
508970,RG-50.010.0096,Yes,Yes,Yes
508971,RG-50.010.0097,Yes,Yes,Yes
508972,RG-50.010.0098,Yes,Yes,Yes
508973,RG-50.010.0099,Yes,Yes,no
508974,RG-50.010.0100,Yes,Yes,Yes
565242,RG-50.011.0001,Yes,Yes,No
506483,RG-50.012.0001,Yes,Yes,No
506484,RG-50.012.0002,Yes,Yes,No
506485,RG-50.012.0003,Yes,Yes,No
506486,RG-50.012.0004,Yes,Yes,No
506487,RG-50.012.0005,Yes,Yes,No
506488,RG-50.012.0006,Yes,Yes,No
506489,RG-50.012.0007,Yes,Yes,No
506490,RG-50.012.0008,Yes,Yes,No
506491,RG-50.012.0009,Yes,Yes,No
506492,RG-50.012.0010,Yes,Yes,yes
506493,RG-50.012.0011,Yes,Yes,No
506494,RG-50.012.0012,Yes,Yes,No
506495,RG-50.012.0013,Yes,Yes,No
506496,RG-50.012.0014,Yes,Yes,No
506498,RG-50.012.0015,Yes,Yes,No
506499,RG-50.012.0016,Yes,Yes,yes
506500,RG-50.012.0017,Yes,Yes,No
506501,RG-50.012.0018,Yes,Yes,No
506502,RG-50.012.0019,Yes,Yes,yes
506503,RG-50.012.0020,Yes,Yes,No
506504,RG-50.012.0021,Yes,Yes,No
506505,RG-50.012.0022,Yes,Yes,No
506506,RG-50.012.0023,Yes,Yes,No
506507,RG-50.012.0024,Yes,Yes,No
506508,RG-50.012.0025,Yes,Yes,No
506509,RG-50.012.0026,Yes,Yes,yes
506510,RG-50.012.0027,Yes,Yes,No
506511,RG-50.012.0028,Yes,Yes,No
506512,RG-50.012.0029,Yes,Yes,No
506513,RG-50.012.0030,Yes,Yes,no
506514,RG-50.012.0031,Yes,Yes,no
506515,RG-50.012.0032,Yes,Yes,No
506516,RG-50.012.0033,Yes,Yes,No
